name_normalised_audit,raw_name_variants,example_names,rows,retailer_file
mcguigan black label chardonnay,2,McGuigan Black Label Chardonnay | Mcguigan Black Label Chardonnay,177,Morrisons
morrisons the best thick cut multi seed loaf,2,Morrisons The Best Thick Cut Multi Seed Loaf | Morrisons The Best Thick Cut Multi-Seed Loaf,177,Morrisons
quorn vegetarian chicken style pieces,2,Quorn Vegetarian Chicken Style Pieces | Quorn Vegetarian Chicken style Pieces,177,Morrisons
morrisons apple juice from concentrate,2,Morrisons Apple Juice From Concentrate | Morrisons Apple Juice from Concentrate,176,Morrisons
schwarzkopf got2b glued blasting freeze spray,2,Schwarzkopf Got2B Glued Blasting Freeze Spray | Schwarzkopf got2b Glued Blasting Freeze Spray,176,Morrisons
andrex classic clean washlets,2,Andrex Classic Clean Washlets | Andrex Classic Clean Washlets…,175,Morrisons
astonish protect care anti bact,2,Astonish Protect & Care Anti-Bact… | Astonish Protect + Care Anti-Bact…,175,Morrisons
bakers small dog dry dog food chicken and veg,2,Bakers Small Dog Dry Dog Food Chicken And Veg | Bakers Small Dog Dry Dog Food Chicken and Veg,175,Morrisons
sainsbury s c tes de provence ros taste the difference 75cl,2,"Sainsbury's Côtes De Provence Rosé, Taste the Difference 75cl | Sainsbury's Côtes de Provence Rosé, Taste the Difference 75cl",184,Sains
sainsbury s chicken chow mein ready meal for 1 400g,2,Sainsbury's Chicken Chow Mein Ready Meal For 1 400g | Sainsbury's Chicken Chow Mein Ready Meal for 1 400g,181,Sains
sainsbury s beef lasagne ready meal for 1 400g,2,Sainsbury's Beef Lasagne Ready Meal For 1 400g | Sainsbury’s Beef Lasagne Ready Meal For 1 400g,180,Sains
sainsbury s home rose gold long candles 12pk,2,Sainsbury's Home Rose Gold Long Candles 12Pk | Sainsbury's Home Rose Gold Long Candles 12pk,175,Sains
this isn t pork plant based sausages 270g,2,THIS Isn't Pork Plant Based Sausages 270g | This Isn't Pork Plant Based Sausages 270g,175,Sains
sainsbury s scottish salmon spinach cheddar en croute taste the difference x2 470g,2,"Sainsbury's Scottish Salmon Spinach & Cheddar En Croute, Taste the Difference x2 470g | Sainsbury's Scottish Salmon, Spinach & Cheddar En Croute, Taste the Difference x2 470g",101,Sains
bio me apple cinnamon gut loving granola 360g,2,Bio & Me Apple & Cinnamon Gut Loving Granola 360g | Bio&Me Apple & Cinnamon Gut Loving Granola 360g,92,Sains
bio me berry burst granola 350g,2,Bio & Me Berry Burst Granola 350g | Bio&Me Berry Burst Granola 350g,92,Sains
bio me cashew almond granola 350g,2,Bio & Me Cashew & Almond Granola 350g | Bio&Me Cashew & Almond Granola 350g,92,Sains
bio me low sugar naturally gut loving granola 360g,2,Bio & Me Low Sugar Naturally Gut Loving Granola 360g | Bio&Me Low Sugar Naturally Gut Loving Granola 360g,92,Sains
bio me oats plenty apple cinnamon 400g,2,Bio & Me Oats & Plenty Apple & Cinnamon 400g | Bio&Me Oats & Plenty Apple & Cinnamon 400g,92,Sains
bio me oats plenty super seedy nutty 400g,2,Bio & Me Oats & Plenty Super Seedy & Nutty 400g | Bio&Me Oats & Plenty Super Seedy & Nutty 400g,92,Sains
bio me super seedy nutty gut loving granola 360g,2,Bio & Me Super Seedy & Nutty Gut Loving Granola 360g | Bio&Me Super Seedy & Nutty Gut Loving Granola 360g,92,Sains
daytona 5w30 c3 bmw vaux merc fully synthetic oil 2l,2,Daytona 5W30 C3 Bmw/Vaux/Merc Fully Synthetic Oil 2L | Daytona 5w30 C3 BMW/Vaux/Merc Fully Synthetic Oil 2L,92,Sains
daytona 5w30 psa oil 2l,2,Daytona 5W30 PSA Oil 2L | Daytona 5W30 Psa Oil 2L,92,Sains
irn bru soft drink 500ml,2,IRN-BRU Soft Drink 500ml | Irn-Bru Soft Drink 500ml,92,Sains
irn bru xtra sugar free soft drink 2ll,2,IRN-BRU Xtra Sugar Free Soft Drink 2lL | Irn-Bru Xtra Sugar Free Soft Drink 2lL,92,Sains
irn bru xtra sugar free soft drink 6x330ml,2,IRN-BRU Xtra Sugar Free Soft Drink 6x330ml | Irn-Bru Xtra Sugar Free Soft Drink 6x330ml,92,Sains
kellogg s pop tarts choctastic breakfast pastry snack 8x48g,2,Kellogg's Pop Tarts Choctastic Breakfast Pastry Snack 8x48g | Kellogg's Pop-Tarts Choctastic Breakfast Pastry Snack 8x48g,92,Sains
kellogg s pop tarts strawberry sensation breakfast pastry snack 8x48g,2,Kellogg's Pop Tarts Strawberry Sensation Breakfast Pastry Snack 8x48g | Kellogg's Pop-Tarts Strawberry Sensation Breakfast Pastry Snack 8x48g,92,Sains
tesco macaroni cheese 400g,2,Tesco Macaroni Cheese 400G | Tesco Macaroni Cheese 400g,181,Tesco
tesco chicken tikka masala pilau rice 400g,2,Tesco Chicken Tikka Masala & Pilau Rice 400G | Tesco Chicken Tikka Masala Pilau Rice 400G,177,Tesco
tesco spaghetti carbonara 400g,2,Tesco Spaghetti Carbonara 400G | Tesco Spaghetti Carbonara 400g,177,Tesco
status usb c plug adapter,2,Status USB C Plug Adapter | Status Usb & C Plug Adapter,174,Tesco
tesco chicken arrabbiata 400g,2,Tesco Chicken Arrabbiata 400G | Tesco Chicken Arrabbiata 400g,172,Tesco
tesco egg fried rice 400g,2,Tesco Egg Fried Rice 400G | Tesco Egg Fried Rice 400g.,153,Tesco
tesco luxury soft 100 recycled toilet tissue 6 long rolls,2,Tesco Luxury Soft 100% Recycled Toilet Tissue 6 Long Rolls | Tesco Luxury Soft 100% Recycled Toilet Tissue 6 long Rolls,132,Tesco
sanex expert skin health hypoallergenic shower gel 450ml,2,Sanex Expert Skin Health Hypoallergenic Shower Gel 450ml | Sanex Expert Skin Health+ Hypoallergenic Shower Gel 450ml,120,Tesco
piccolo organic pear banana coconut milk baby rice 100g,2,"Piccolo Organic Pear Banana Coconut Milk Baby Rice 100G | Piccolo Organic Pear, Banana, Coconut Milk & Baby Rice 100g",92,Tesco
crabbies alcoholic ginger beer 500ml,2,CRABBIES ALCOHOLIC GINGER BEER 500ML | Crabbies Alcoholic Ginger Beer 500Ml,90,Tesco
domestos power foam toilet and bathroom cleaner citrus blast 450ml,2,Domestos Power Foam Toilet and Bathroom Cleaner Citrus Blast 450ml | Domestos Power Foam Toilet and Bathroom Cleaner Citrus Blast 450ml?,90,Tesco
all shook up pina colada cocktail 250ml,2,ALL SHOOK UP PINA COLADA COCKTAIL 250ML | All Shook Up Pina Colada Cocktail 250Ml,89,Tesco
tesco led 50w gu10 3pack cw,2,Tesco Led 50W GU10 3pack CW | Tesco Led 50W Gu10 3Pack Cw,89,Tesco
tesco lilac sparkle bottle 500ml,2,Tesco Lilac Sparkle Bottle 500Ml | Tesco Lilac Sparkle bottle 500ml,89,Tesco
domestos power foam toilet and bathroom cleaner arctic fresh 450ml,2,Domestos Power Foam Toilet and Bathroom Cleaner Arctic Fresh 450ml | Domestos Power Foam Toilet and Bathroom Cleaner Arctic Fresh 450ml?,88,Tesco
tesco green frill duvet set king size,2,TESCO GREEN FRILL DUVET SET KING SIZE | Tesco Green Frill Duvet Set King Size,87,Tesco
tesco breaded chicken goujons 540g,2,Tesco Breaded Chicken Goujons 540G | Tesco Breaded Chicken Goujons 540g,85,Tesco
tesco raspberry trifle 600g,2,Tesco Raspberry Trifle 600G | Tesco Raspberry Trifle 600g,85,Tesco
tesco southern fried chicken thighs drumsticks 800g,2,Tesco Southern Fried Chicken Thighs & Drumsticks 800G | Tesco Southern Fried Chicken Thighs & Drumsticks 800g,85,Tesco
ben jerry s sundae coffee caramel non dairy ice cream tub 427ml,2,Ben & Jerry's Sundae Coffee Caramel Non Dairy Ice Cream Tub 427Ml | Ben & Jerry's Sundae Coffee Caramel Non Dairy Ice Cream Tub 427ml,83,Tesco
